subject,date,count,name
BW,1995,173,"Baden-Württemberg"
BW,1996,173,"Baden-Württemberg"
BW,1997,169,"Baden-Württemberg"
BW,1998,170,"Baden-Württemberg"
BW,1999,166,"Baden-Württemberg"
BW,2000,169,"Baden-Württemberg"
BW,2001,179,"Baden-Württemberg"
BW,2002,177,"Baden-Württemberg"
BW,2003,173,"Baden-Württemberg"
BW,2004,178,"Baden-Württemberg"
BW,2005,171,"Baden-Württemberg"
BW,2006,180,"Baden-Württemberg"
BW,2007,182,"Baden-Württemberg"
BW,2008,188,"Baden-Württemberg"
BW,2009,189,"Baden-Württemberg"
BW,2010,185,"Baden-Württemberg"
BW,2011,189,"Baden-Württemberg"
BW,2012,185,"Baden-Württemberg"
BW,2013,187,"Baden-Württemberg"
BW,2014,190,"Baden-Württemberg"
BW,2015,191,"Baden-Württemberg"
BW,2016,195,"Baden-Württemberg"
BW,2017,204,"Baden-Württemberg"
BE_BB,1995,22,"Berlin/Brandenburg"
BE_BB,1996,28,"Berlin/Brandenburg"
BE_BB,1997,32,"Berlin/Brandenburg"
BE_BB,1998,33,"Berlin/Brandenburg"
BE_BB,1999,31,"Berlin/Brandenburg"
BE_BB,2000,35,"Berlin/Brandenburg"
BE_BB,2001,34,"Berlin/Brandenburg"
BE_BB,2002,34,"Berlin/Brandenburg"
BE_BB,2003,36,"Berlin/Brandenburg"
BE_BB,2004,39,"Berlin/Brandenburg"
BE_BB,2005,36,"Berlin/Brandenburg"
BE_BB,2006,38,"Berlin/Brandenburg"
BE_BB,2007,38,"Berlin/Brandenburg"
BE_BB,2008,39,"Berlin/Brandenburg"
BE_BB,2009,41,"Berlin/Brandenburg"
BE_BB,2010,39,"Berlin/Brandenburg"
BE_BB,2011,37,"Berlin/Brandenburg"
BE_BB,2012,41,"Berlin/Brandenburg"
BE_BB,2013,48,"Berlin/Brandenburg"
BE_BB,2014,54,"Berlin/Brandenburg"
BE_BB,2015,62,"Berlin/Brandenburg"
BE_BB,2016,65,"Berlin/Brandenburg"
BE_BB,2017,67,"Berlin/Brandenburg"
HE,1995,54,"Hessen"
HE,1996,53,"Hessen"
HE,1997,56,"Hessen"
HE,1998,61,"Hessen"
HE,1999,62,"Hessen"
HE,2000,62,"Hessen"
HE,2001,65,"Hessen"
HE,2002,66,"Hessen"
HE,2003,64,"Hessen"
HE,2004,64,"Hessen"
HE,2005,66,"Hessen"
HE,2006,68,"Hessen"
HE,2007,69,"Hessen"
HE,2008,70,"Hessen"
HE,2009,62,"Hessen"
HE,2010,62,"Hessen"
HE,2011,68,"Hessen"
HE,2012,68,"Hessen"
HE,2013,71,"Hessen"
HE,2014,72,"Hessen"
HE,2015,75,"Hessen"
HE,2016,70,"Hessen"
HE,2017,80,"Hessen"
MV,1995,9,"Mecklemburg-Vorpommern"
