subject,date,count,name
BY,1995,726,"Bayern"
BY,1996,714,"Bayern"
BY,1997,699,"Bayern"
BY,1998,696,"Bayern"
BY,1999,684,"Bayern"
BY,2000,670,"Bayern"
BY,2001,656,"Bayern"
BY,2002,644,"Bayern"
BY,2003,641,"Bayern"
BY,2004,630,"Bayern"
BY,2005,623,"Bayern"
BY,2006,619,"Bayern"
BY,2007,629,"Bayern"
BY,2008,630,"Bayern"
BY,2009,632,"Bayern"
BY,2010,637,"Bayern"
BY,2011,637,"Bayern"
BY,2012,622,"Bayern"
BY,2013,623,"Bayern"
BY,2014,619,"Bayern"
BY,2015,626,"Bayern"
BY,2016,624,"Bayern"
BY,2017,642,"Bayern"
DEU,1995,1282,"Deutschland"
DEU,1996,1276,"Deutschland"
DEU,1997,1273,"Deutschland"
DEU,1998,1285,"Deutschland"
DEU,1999,1281,"Deutschland"
DEU,2000,1279,"Deutschland"
DEU,2001,1298,"Deutschland"
DEU,2002,1289,"Deutschland"
DEU,2003,1275,"Deutschland"
DEU,2005,1281,"Deutschland"
DEU,2006,1289,"Deutschland"
DEU,2007,1306,"Deutschland"
DEU,2008,1328,"Deutschland"
DEU,2009,1331,"Deutschland"
DEU,2010,1333,"Deutschland"
DEU,2011,1347,"Deutschland"
DEU,2012,1341,"Deutschland"
DEU,2013,1352,"Deutschland"
DEU,2014,1359,"Deutschland"
DEU,2015,1392,"Deutschland"
DEU,2016,1410,"Deutschland"
DEU,2017,1492,"Deutschland"
